	Id	ID Number	Class	Tract	Name	Owner	BridgeType	Width	NumSpans	Length	MaxSpanLength	SkewAngle	SeatLength	SeatWidth	YearBuilt	YearRemodeled	PierType	FoundationType	ScourIndex	Traffic	TrafficIndex	Condition	Replacement Cost (thous. $)	Latitude	Longitude	Comment	Shape	SoilType	LqfSusCat	LndSusCat	WaterDepth
	CA007662	CA007662	HWB10	06085507002	INTERSTATE 680	State Highway Agency	20500011	42.700	3	39	19.000	1.000			1966		H045500000		N	126100	 	777	$3,183.39	37.201670	-121.958330			D	0	0	5.000
	CA009360	CA009360	HWB10	06085504506	I 880	State Highway Agency	20100012	33.500	2	8	4.000	0.000			1952		N000000000		8	118600	 	___	$512.31	37.455000	-121.921670			D	0	0	5.000
	CA010402	CA010402	HWB3	06085511705	RAMP/CONNECTOR 280	State Highway Agency	10500011	8.800	1	23	22.000	99.000			1969		N000000000		8	2100	 	677	$386.91	37.410000	-122.193330			D	0	0	5.000
	CA010403	CA010403	HWB10	06085511705	ROUTE 280	State Highway Agency	20500011	23.800	4	111	28.000	14.000			1969		H049500000		6	40400	 	377	$5,050.06	37.410000	-122.193330			D	0	0	5.000
	CA010405	CA010405	HWB10	06085511705	RTE 280	State Highway Agency	20500011	20.700	4	111	28.000	14.000			1969		H047200000		6	40400	 	477	$4,392.28	37.410000	-122.193330			D	0	0	5.000
	CA010407	CA010407	HWB3	06085511705	RAMP/CONNECTOR 280	State Highway Agency	10500011	11.600	1	26	26.000	99.000			1969		N000000000		8	6700	 	577	$576.54	37.410000	-122.193330			D	0	0	5.000
	CA010847	CA010847	HWB3	06085511302	MIDDLEFIELD RD	City Highway Agency	11900016	23.000	1	9	9.000	18.000			1936		N000000000		8	22174	 	NNN	$395.70	37.453330	-122.161670			D	0	0	5.000
	CA010895	CA010895	HWB4	06085511707	LOS TRANCOS RD	City Highway Agency	11900019	12.500	1	7	7.000	49.000			1989		N000000000		8	2700	 	NNN	$167.27	37.361670	-122.201670			D	0	0	5.000
	CA011127	CA011127	HWB10	06085504602	STATE ROUTE 237	State Highway Agency	20100012	34.600	3	18	6.000	13.000			1966		N000000000		5	62000	 	777	$1,190.54	37.408330	-122.005000			D	0	0	5.000
	CA011128	CA011128	HWB10	06085512602	U.S. HWY 101 (SB)	State Highway Agency	20550202	12.500	6	205	41.000	99.000			1970		H052300000		5	22150	 	387	$4,898.48	36.930000	-121.546670			D	0	0	5.000
	CA011129	CA011129	HWB13	06085512602	U.S. HWY 101 (NB)	State Highway Agency	30200002	9.800	11	185	22.000	99.000			1950		H068600000		5	22150	 	667	$3,465.73	36.930000	-121.546670			D	0	0	5.000
	CA011131	CA011131	HWB10	06085512602	U.S. HWY 101 (SB)	State Highway Agency	20100002	10.400	4	43	11.000	35.000			1949		N000000000		5	22150	 	676	$854.87	36.975000	-121.553330			D	0	0	5.000
	CA011132	CA011132	HWB10	06085512602	U.S. HWY 101 (NB)	State Highway Agency	20400002	11.300	4	43	11.000	99.000			1931		N000000000		5	22150	 	376	$928.85	36.975000	-121.553330			D	0	0	5.000
	CA011133	CA011133	HWB28	06085512604	STATE ROUTE 152	State Highway Agency	10400014	26.700	2	13	6.000	0.000					N000000000		5	31400	 	677	$663.52	37.016670	-121.573330			D	0	0	5.000
	CA011134	CA011134	HWB3	06085505302	STATE ROUTE 82	State Highway Agency	10100014	36.600	1	17	15.000	0.000			1958		N000000000		8	30200	 	777	$1,189.40	37.353330	-121.970000			D	0	0	5.000
	CA011135	CA011135	HWB3	06085505305	STATE ROUTE 82	State Highway Agency	10100014	36.600	1	8	7.000	0.000			1958		N000000000		8	44700	 	677	$559.72	37.353330	-121.986670			D	0	0	5.000
